venue,country,city,lat,lon,names
Ruaraka Sports Club Ground,Kenya,Nairobi,-1.25786449,36.85756088,"Ruaraka Sports Club Ground; Ruaraka Sports Club Ground, Nairobi"
"Sabina Park, Kingston",Jamaica,Jamaica,17.9779974,-76.7825867,"Sabina Park, Kingston; Sabina Park, Kingston, Jamaica; Sabina Park; Sabina Park, Jamaica; Sabina Park, Kingston, Kingston"
"Sardar Patel Stadium, Motera",India,Ahmedabad,23.0925447,72.5978635,"Sardar Patel Stadium, Motera; Sardar Patel (Gujarat) Stadium, Motera; Sardar Patel Stadium; Sardar Patel Stadium, Ahmedabad"
"Saurashtra Cricket Association Stadium, Rajkot",India,Rajkot,22.3627855,70.7100844,"Saurashtra Cricket Association Stadium; Saurashtra Cricket Association Stadium, Rajkot"
Sawai Mansingh Stadium,India,Jaipur,26.8939911,75.8032269,"Sawai Mansingh Stadium; Sawai Mansingh Stadium, Jaipur"
Saxton Oval,New Zealand,Nelson,-41.3309414,173.2128396,"Saxton Oval; Saxton Oval, Nelson"
Sector 16 Stadium,India,Chandigarh,30.7419173,76.7747257,Sector 16 Stadium
Seddon Park,New Zealand,Hamilton,-37.7867613,175.2742998,"Seddon Park; Seddon Park, Hamilton; Westpac Park, Hamilton"
Senwes Park,South Africa,Potchefstroom,-26.6954244,27.1002894,"Senwes Park; Senwes Park, Potchefstroom; Sedgars Park; Sedgars Park, Potchefstroom"
Shaheed Chandu Stadium,Bangladesh,Bogra,24.8394526,89.3641648,"Shaheed Chandu Stadium; Shaheed Chandu Stadium, Bogra"
Shaheed Veer Narayan Singh International Stadium,India,Raipur,21.20364123,81.82393561,"Shaheed Veer Narayan Singh International Stadium, Raipur; Shaheed Veer Narayan Singh International Stadium"
Sharjah Cricket Stadium,United Arab Emirates,Sharjah,25.3308493,55.4208718,"Sharjah Cricket Stadium; Sharjah Cricket Association Stadium; Sharjah Cricket Stadium, Sharjah"
Sheikh Abu Naser Stadium,Bangladesh,Khulna,22.8445371,89.5373893,"Sheikh Abu Naser Stadium; Sheikh Abu Naser Stadium, Khulna"
Sheikh Kamal International Cricket Stadium,Bangladesh,Cox's Bazar,23.0100868,89.8273886,Sheikh Kamal International Cricket Stadium
Sheikh Zayed Stadium,United Arab Emirates,Abu Dhabi,24.4161286,54.45363,"Sheikh Zayed Stadium; Sheikh Zayed Stadium, Abu Dhabi"
Sheikhupura Stadium,Pakistan,,31.7078851,73.9751345,Sheikhupura Stadium
Sher-e-Bangla National Cricket Stadium,Bangladesh,Mirpur,23.8069081,90.3636143,"Sher-e-Bangla National Cricket Stadium; Shere Bangla National Stadium; Shere Bangla National Stadium, Mirpur; Shere Bangla National Stadium, Dhaka"
